name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
ALIEN Mugler,whiteamber,Women,cashmerianwood,https://www.noon.com/uae-en/mugler-edp-30ml/N11075930A/p?o=a55700f5fa4e37fc,Woody,30ml,jasminesambac,211.6,EDP
ALMAS Oud Niche Spray,fresh,Unisex,fresh,https://www.noon.com/uae-en/oud-niche-spray-60ml/N39900636A/p?o=d6decdaddae365ec,Fresh,60ml,,81.9,EDP
AMORINO Black Diamond,"sandalwood,cedarwood,guaiacwood,patchouli,vanilla,whitemusk",Unisex,"jasmine,sambac,iris,violet,whitepetals",https://www.noon.com/uae-en/black-diamond-edp-100ml/N11959543A/p?o=e066d527695b0bbe,,100ml,"mandarin,bergamot,lime,lemon,anise,clove",1050.0,EDP
AMORINO Black Essence,"musk,amber,vetiver",Unisex,"iris,sage,carrotsee,ginger,geranium",https://www.noon.com/uae-en/black-essence-edp-100ml/N11074605A/p?o=b3b9f36b39f848fc,,100ml,"bergamot,lemon,mandarin",579.0,EDP
AMORINO Black Rose,"patchouli,musk,vanilla,tonka",Unisex,"lavandin,blackpepper,cinnamon",https://www.noon.com/uae-en/black-rose-edp-100ml/N36522269A/p?o=ee89c07cbe00712b,Fresh,100ml,"bergamot,lemon,orange",1050.0,EDP
AMORINO Gold Feel Me,"patchouli,tonka,vanilla,musk",Unisex,"iris,orangeflower,jasmine",https://www.noon.com/uae-en/gold-feel-me-edp-50ml/N11074610A/p?o=e566061f8cd998ba,,50ml,"lemon,orange,blackcurrant",620.0,EDP
AMORINO Gold Morethan Love,"amber,vanilla,oakmoss,musk",Unisex,"pinkpepper,jasmine,birch,patchouli",https://www.noon.com/uae-en/gold-morethan-love-edp-50ml/N11074623A/p?o=ba1afe38df0df52f,,50ml,"cassis,bergamot,apple,pineapple,",700.0,EDP
AMORINO Gold Touch Me,"amber,vanilla,oakmoss,musk,patchouli",Unisex,"jasmine,birch,rose",https://www.noon.com/uae-en/gold-touch-me-edp-50ml/N11074619A/p?o=e2a08415f4791f0b,,50ml,"bergamot,cassis,apple,pineapple",700.0,EDP
AMORINO Private Musk,vanilla,Unisex,whiterose,https://www.noon.com/uae-en/private-musk-edp-50ml/N11959538A/p?o=ea78eb7ab13c2b6e,,50ml,sweetblackberry,289.0,EDP
AMORINO Royal Night,"green,blacktea",Unisex,"wood,musk,amber",https://www.noon.com/uae-en/royal-night-edp-50ml/N11959539A/p?o=e62bcf8a6d6fa20b,Woody,50ml,"citrusiris,sicilianlemon,bergamot,greenmandarin,blackcurrent",820.0,EDP
AMOUAGE Amouage,"patchouli,incense,vanilla,amber",Women,"tea,jasmine,geranium",https://www.noon.com/uae-en/amouage-edp-100ml/N37974290A/p?o=a1dc7bb73570adac,Fresh,100ml,"cinnamon,caraway",1488.05,EDP
AMOUAGE Amouage,"aoud,patchouli,leather,incense",Men,"geranium,myrrh",https://www.noon.com/uae-en/amouage-edp-100ml/N31473982A/p?o=b6502d186720dfbb,Spicy,100ml,"pinkpepper,cardamom,saffron,nutmeg",680.0,EDP
AMOUAGE Beach Hut,"driftwood,ylang,ylang",Women,"driftwood,ylangylangg",https://www.noon.com/uae-en/beach-hut-edp-100ml/N23098395A/p?o=e504bb46e572f49a,Woody,100ml,"bergamot,mineral",495.05,EDP
AMOUAGE Beach Hut,"myrrh,patchouli,woody",Men,"vetiver,moss,ivy",https://www.noon.com/uae-en/beach-hut-edp-100ml/N20179840A/p?o=b54ac6a2c477e29f,Woody,100ml,"mint,orangeblossom,galbanum",616.35,EDP
